"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M22"	-0.0917180093977582	1.10829555409629e-18	-2.74844528316535	0.00851478233111279	0.15326608196003	-2.56559274220635
"M5"	0.0759149702912941	-3.80073094910196e-18	2.05372803606948	0.0456884557799634	0.411196102019671	-3.92165979851373
"M21"	0.0793349916658593	5.86523258587644e-18	1.62661808734119	0.110622913259751	0.663737479558503	-4.59529028293925
"M23"	0.0212894232894559	-2.55841595979566e-18	1.24946956941137	0.217788568950359	0.928280016567769	-5.07416677511066
"M13"	0.0443280331951213	-6.15887067425794e-18	1.13491149818901	0.262268267261191	0.928280016567769	-5.19663690887933
"M14"	-0.0162386567260827	9.39039548280501e-18	-1.0277360066744	0.309426672189256	0.928280016567769	-5.3011662342712
"M24"	0.0151577554765217	6.47509630789954e-19	0.767855568720813	0.446481234595542	0.932602986184886	-5.51332400855051
"M16"	-0.0632680301699802	-1.76303319936948e-17	-0.751837252097041	0.455963460507627	0.932602986184886	-5.52445500533907
"M26"	-0.0258036476590911	-8.78203759713259e-18	-0.644665009050428	0.522333642208294	0.932602986184886	-5.59303070066283
"M18"	-0.0167292071666988	-2.44848990619643e-18	-0.625261736718627	0.534876712520634	0.932602986184886	-5.60434394147186
"M8"	-0.0429838124791562	1.89358921097295e-18	-0.529808660047698	0.598782469059942	0.932602986184886	-5.65504533374702
"M11"	0.0303557732223057	9.43255890062389e-18	0.473373050791165	0.638176953402966	0.932602986184886	-5.68113126792811
"M15"	-0.026798141041629	-2.93638088381491e-18	-0.423982891086227	0.673546601133529	0.932602986184886	-5.70157663456189
"M2"	-0.0065993288967596	-1.17455235352596e-17	-0.277797068224277	0.782407955678363	0.976278981517271	-5.74898427404497
"M6"	-0.0236234271599203	1.69557173085928e-18	-0.221145963084325	0.825953603603405	0.976278981517271	-5.76206621625582
"M3"	-0.00428097143673731	-8.89045781438114e-18	-0.151531063899015	0.88021678286293	0.976278981517271	-5.77408127520787
"M10"	-0.00445431194740708	1.86723707483615e-18	-0.0522310749046312	0.958569834738672	0.976278981517271	-5.78345691421901
"M1"	0.0015142863156013	1.6746406055849e-17	0.029895788932364	0.976278981517271	0.976278981517271	-5.78430710870744
