"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M14"	-0.0194898630079373	9.39039548280501e-18	-1.23350313491358	0.223629048764409	0.998481433057561	-5.09189406435501
"M22"	-0.040305317201886	1.10829555409629e-18	-1.20779942431583	0.233273090038755	0.998481433057561	-5.11998657147514
"M1"	0.0552824602940748	1.6746406055849e-17	1.09141365644395	0.280752015325512	0.998481433057561	-5.24024182940165
"M13"	0.0248058631984241	-6.15887067425794e-18	0.635093807173325	0.528501297933357	0.998481433057561	-5.59865365858609
"M26"	0.0199559378050317	-8.78203759713259e-18	0.4985688456011	0.620449406293689	0.998481433057561	-5.66984355060077
"M3"	-0.0126022938587268	-8.89045781438114e-18	-0.446076089084186	0.657626657184646	0.998481433057561	-5.6927065979943
"M5"	0.0156418398229194	-3.80073094910196e-18	0.423158763769177	0.674143441786448	0.998481433057561	-5.70189886787105
"M15"	-0.0259331507083017	-2.93638088381491e-18	-0.410297572327883	0.683484876053123	0.998481433057561	-5.70684701482292
"M16"	-0.0313081678863796	-1.76303319936948e-17	-0.372046464045868	0.711559931225907	0.998481433057561	-5.72066766475205
"M8"	-0.0292960201466255	1.89358921097295e-18	-0.361096056478021	0.719674215853275	0.998481433057561	-5.72437703137599
"M18"	-0.0094333162477328	-2.44848990619643e-18	-0.352574490906813	0.726011426829403	0.998481433057561	-5.72718744684508
"M2"	0.00667906369976962	-1.17455235352596e-17	0.281153484438431	0.779848475152215	0.998481433057561	-5.74811629860086
"M10"	-0.0163462020363525	1.86723707483615e-18	-0.191674878869667	0.848837112869531	0.998481433057561	-5.7676997134433
"M11"	0.0119165317609219	9.43255890062389e-18	0.185828407440216	0.85339309299409	0.998481433057561	-5.76872184947821
"M6"	-0.0180154528990976	1.69557173085928e-18	-0.168648039710792	0.866809923362364	0.998481433057561	-5.77154254731936
"M24"	-0.00138442220867942	6.47509630789954e-19	-0.0701315114920431	0.944391776846379	0.998481433057561	-5.78244175742298
"M23"	0.000399499042684187	-2.55841595979566e-18	0.0234464733993094	0.981395145406295	0.998481433057561	-5.7844665635729
"M21"	9.33305862167583e-05	5.86523258587644e-18	0.00191357201223059	0.998481433057561	0.998481433057561	-5.78471967390297
