"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M2"	0.0447087049915344	-1.17455235352596e-17	1.8820015436495	0.0661457784417814	0.984591387040229	-4.20842845100077
"M13"	0.0438097906138909	-6.15887067425794e-18	1.12164315709883	0.267812140344547	0.984591387040229	-5.21010810808768
"M18"	-0.0238477641765022	-2.44848990619643e-18	-0.891321046913571	0.377377108746592	0.984591387040229	-5.41990449330988
"M5"	0.0324073027579162	-3.80073094910196e-18	0.876714908692483	0.3851790439366	0.984591387040229	-5.43165668418718
"M11"	-0.0509579919906389	9.43255890062389e-18	-0.794647527313695	0.430883205901261	0.984591387040229	-5.494196842837
"M21"	0.0253904703984361	5.86523258587644e-18	0.52058489613443	0.60514288510197	0.984591387040229	-5.65950696768857
"M3"	0.00820147436562105	-8.89045781438114e-18	0.29030283302012	0.772884098045444	0.984591387040229	-5.74569752615722
"M1"	0.0132560890399315	1.6746406055849e-17	0.26170826211888	0.794710029965996	0.984591387040229	-5.75300062767311
"M22"	-0.00859543592738486	1.10829555409629e-18	-0.257573027222158	0.797880653193302	0.984591387040229	-5.75399436313456
"M15"	0.0145449208635656	-2.93638088381491e-18	0.23012035009351	0.819014480224757	0.984591387040229	-5.76019133040141
"M23"	0.00358955099978635	-2.55841595979566e-18	0.210669621299912	0.834071819584051	0.984591387040229	-5.76416075836532
"M8"	0.0167965099050015	1.89358921097295e-18	0.207029946693584	0.836896567102389	0.984591387040229	-5.76486470337014
"M26"	-0.0080754920248794	-8.78203759713259e-18	-0.201753922859483	0.840995132542854	0.984591387040229	-5.76586339525175
"M16"	0.0144542171622513	-1.76303319936948e-17	0.171764774140814	0.864372875666034	0.984591387040229	-5.77105110987521
"M14"	0.00262037035574764	9.39039548280501e-18	0.165841855693547	0.869005264308845	0.984591387040229	-5.77197732972544
"M6"	0.0151510947194695	1.69557173085928e-18	0.141833926586384	0.887828087661608	0.984591387040229	-5.7753992002514
"M10"	0.0068736603442825	1.86723707483615e-18	0.0806002526428806	0.936108125300323	0.984591387040229	-5.78171044872007
"M24"	-0.000383316386459193	6.47509630789954e-19	-0.0194178895668643	0.984591387040229	0.984591387040229	-5.78454660303344
