"X","p.Adjust","cor","kWithin","module"
"Zt09_chr_13_00192","1.3e-02",-0.86,"1.0000","M24"
"Zt09_chr_1_00716","3.1e-02",-0.8,"0.9636","M24"
"Zt09_chr_5_00268","3.6e-02",-0.79,"0.8420","M24"
"Zt09_chr_12_00192","2.0e-02",-0.83,"0.7309","M24"
"Zt09_chr_12_00418","2.8e-02",-0.81,"0.7029","M24"
"Zt09_chr_4_00549","6.8e-03",-0.89,"0.5599","M24"
"Zt09_chr_8_00589","2.4e-02",-0.82,"0.5104","M24"
"Zt09_chr_10_00149","2.6e-02",-0.81,"0.4764","M24"
"Zt09_chr_3_00753","1.5e-02",-0.85,"0.4682","M24"
"Zt09_chr_8_00386","4.8e-02",-0.76,"0.3985","M24"
"Zt09_chr_12_00332","9.0e-03",-0.88,"0.3697","M24"
"Zt09_chr_12_00241","2.5e-02",-0.82,"0.3602","M24"
"Zt09_chr_3_00504","4.8e-02",-0.76,"0.3002","M24"
"Zt09_chr_1_00369","2.1e-02",-0.83,"0.2718","M24"
"Zt09_chr_1_00009","2.6e-02",-0.81,"0.2663","M24"
"Zt09_chr_10_00133","2.4e-02",-0.82,"0.2133","M24"
"Zt09_chr_1_00715","3.4e-02",-0.79,"0.2022","M24"
"Zt09_chr_9_00568","3.1e-02",-0.8,"0.1896","M24"
"Zt09_chr_2_00436","2.7e-02",-0.81,"0.1592","M24"
"Zt09_chr_8_00067","3.6e-02",-0.79,"0.1511","M24"
"Zt09_chr_10_00074","2.9e-02",-0.8,"0.1407","M24"
"Zt09_chr_9_00131","3.9e-02",-0.78,"0.1353","M24"
"Zt09_chr_7_00129","1.5e-02",-0.85,"0.1295","M24"
"Zt09_chr_7_00051","5.0e-02",-0.75,"0.1280","M24"
"Zt09_chr_13_00067","3.3e-02",-0.79,"0.1176","M24"
"Zt09_chr_12_00200","2.3e-02",-0.82,"0.1009","M24"
"Zt09_chr_6_00110","6.2e-03",-0.9,"0.0931","M24"
"Zt09_chr_1_01235","3.4e-02",-0.79,"0.0902","M24"
"Zt09_chr_2_00071","3.6e-02",-0.79,"0.0867","M24"
"Zt09_chr_1_02105","5.0e-02",-0.75,"0.0806","M24"
"Zt09_chr_12_00202","1.2e-02",-0.87,"0.0759","M24"
"Zt09_chr_3_00137","6.4e-03",-0.9,"0.0654","M24"
"Zt09_chr_2_00791","1.2e-02",-0.86,"0.0607","M24"
"Zt09_chr_3_00689","2.0e-02",-0.83,"0.0535","M24"
"Zt09_chr_13_00179","4.9e-02",-0.76,"0.0441","M24"
"Zt09_chr_11_00133","1.3e-02",-0.86,"0.0375","M24"
"Zt09_chr_5_00174","4.3e-02",-0.77,"0.0366","M24"
"Zt09_chr_1_01751","2.0e-03",-0.93,"0.0355","M24"
"Zt09_chr_1_00177","3.6e-02",-0.79,"0.0161","M24"
"Zt09_chr_9_00169","3.2e-02",-0.8,"0.0128","M24"
"Zt09_chr_3_00390","6.0e-03",-0.9,"0.0116","M24"
"Zt09_chr_10_00483","2.0e-02",-0.83,"0.0092","M24"
"Zt09_chr_10_00084","3.7e-02",-0.78,"0.0067","M24"
"Zt09_chr_9_00203","4.5e-02",-0.77,"0.0055","M24"
