"","p.Adjust","cor","kWithin","module"
"Zt09_chr_4_00666",0.0183291648592571,-0.838823163814348,0.0195941375326742,"M0"
"Zt09_chr_1_01885",0.0268496412060091,-0.811039802307937,0.0158750928296188,"M0"
"Zt09_chr_1_00081",0.0476600973682328,-0.759431849915328,0.0141548274791537,"M0"
"Zt09_chr_4_00105",0.00641507206304197,0.895429691149924,0.011662426654624,"M0"
"Zt09_chr_2_01092",0.0224529942354931,-0.824629560717384,0.00896386398178646,"M0"
"Zt09_chr_11_00068",0.0152373580714067,-0.850706167182342,0.00791944244277916,"M0"
"Zt09_chr_1_00896",0.0327793090373286,-0.794563096803338,0.00546886735497585,"M0"
"Zt09_chr_6_00231",0.0412972905586106,-0.77358008799448,0.00544807190160966,"M0"
"Zt09_chr_1_01165",0.00527219135318621,0.903495630759079,0.00463669035641862,"M0"
"Zt09_chr_11_00148",0.0489782597669225,0.756633230125727,0.00380543442683195,"M0"
"Zt09_chr_6_00416",0.0123752238900816,-0.86300782921694,0.00360779028171245,"M0"
"Zt09_chr_1_00471",0.0398931609909169,0.776861378414325,0.0025013048815774,"M0"
"Zt09_chr_13_00064",0.0416024173554028,-0.772875233301327,0.00221559730337292,"M0"
"Zt09_chr_7_00315",0.015319163869522,-0.85037488192057,0.00189491109772386,"M0"
"Zt09_chr_19_00072",0.0188393070054023,0.836975251906669,0.00179123945261347,"M0"
"Zt09_chr_1_00288",0.0110666573477782,0.869178410709568,0.00175377299522357,"M0"
"Zt09_chr_2_00504",0.0336960059754189,0.792169390043671,0.00172065240525944,"M0"
"Zt09_chr_3_00624",0.0239964154083574,-0.819700948927124,0.00144409371660343,"M0"
"Zt09_chr_19_00012",0.0439900425585535,-0.767455578401624,0.00140077192694528,"M0"
"Zt09_chr_2_00115",0.0166216945844812,0.845230452389294,0.00124277993110277,"M0"
"Zt09_chr_1_00405",0.00868212937076909,-0.88160996497963,0.00116452320003485,"M0"
"Zt09_chr_1_00739",0.00471528293834791,-0.907798090867381,0.00111870581937388,"M0"
"Zt09_chr_1_00623",0.0435797989011431,0.768375034588039,0.000994107472996105,"M0"
"Zt09_chr_7_00028",0.034385664284921,-0.790392355375364,0.000967332141289886,"M0"
"Zt09_chr_1_00431",0.0313320572955925,0.798419491148656,0.000938463749365052,"M0"
"Zt09_chr_5_00424",0.0159186082933479,-0.847977561301212,0.000779496624164834,"M0"
"Zt09_chr_3_00982",0.024485568572461,0.818176439724303,0.000757100103277592,"M0"
"Zt09_chr_6_00482",0.0312713524848901,-0.798583399152254,0.000620612111061648,"M0"
"Zt09_chr_7_00534",0.0487481145450507,-0.757118853721484,0.000451988050977112,"M0"
"Zt09_chr_10_00419",0.016080015340376,0.8473408882589,0.000379170950015971,"M0"
"Zt09_chr_1_00993",0.00651340981581843,0.894776144251902,0.000346003796897732,"M0"
"Zt09_chr_5_00850",0.0485822561987658,-0.757469606883243,0.000223431494544494,"M0"
"Zt09_chr_1_00962",0.0208692324340771,0.829890281912654,0.000170049535547797,"M0"
"Zt09_chr_3_00548",0.00783323003890304,0.886507682437645,4.41029011214053e-05,"M0"
"Zt09_chr_3_00728",0.0128496058166006,-0.860863906791166,0.0755737755171517,"M1"
"Zt09_chr_13_00099",0.036287063043896,-0.785593387137851,0.0668196220507846,"M1"
"Zt09_chr_5_00696",0.0419319451553576,-0.772117210500079,0.0424196649612512,"M1"
"Zt09_chr_9_00480",0.00865433522423478,-0.881765826647168,0.028003944374873,"M1"
"Zt09_chr_4_00188",0.031111380899237,-0.799016189033097,0.0229235973662774,"M1"
"Zt09_chr_1_01838",0.00581734256734012,-0.899533352489987,0.0126555177747683,"M1"
"Zt09_chr_1_02085",0.0318912592925812,-0.796917869719781,0.0107109788647287,"M1"
"Zt09_chr_5_00580",0.0480462370207029,-0.758607678971889,0.00990603449296581,"M1"
"Zt09_chr_2_01209",0.00829144016746286,-0.883827954746477,0.00799302275525462,"M1"
"Zt09_chr_7_00194",0.00252530631377841,-0.92850426180368,0.00393883282390666,"M1"
"Zt09_chr_9_00269",0.00907399173366925,-0.879442490667454,0.00376947824212887,"M1"
"Zt09_chr_13_00100",0.0215228306371504,-0.827692792216775,0.00133176679399227,"M1"
"Zt09_chr_7_00246",0.0184709990966892,-0.838306489955311,0.00110112439514022,"M1"
"Zt09_chr_8_00158",0.0158630206194204,-0.848197679547801,0.000901110742783596,"M1"
"Zt09_chr_19_00013",0.0170029526975389,-0.843768430364575,0.000380379619048129,"M1"
"Zt09_chr_2_00944",0.0484289492829922,0.757794400922829,0.000275107230760843,"M1"
"Zt09_chr_1_00636",0.00965411963791931,-0.876330629173438,0.000182338683900251,"M1"
"Zt09_chr_2_00943",0.0151674707869733,0.85098999166232,0.000170549266187411,"M1"
"Zt09_chr_1_00137",0.0382784579116503,-0.780714774002935,0.476195302085078,"M10"
"Zt09_chr_4_00733",0.00148319632011575,-0.942388014386825,0.115545993991986,"M10"
"Zt09_chr_4_00802",0.00770101913325869,-0.887297660862807,0.0942182843052786,"M10"
"Zt09_chr_7_00206",0.0297862376721392,0.802650119441578,0.746130811529394,"M11"
"Zt09_chr_12_00216",0.019070422209133,0.83614742574913,0.507953861436433,"M11"
"Zt09_chr_1_00483",0.0406976367232454,-0.774973743912258,0.0483134922864718,"M11"
"Zt09_chr_2_00208",0.0353422554975622,0.787960051328648,0.0349783883074062,"M11"
"Zt09_chr_3_00040",0.0416900358690106,-0.77267335917115,0.100393918122292,"M13"
"Zt09_chr_11_00249",0.0403092193720312,-0.775882530796542,0.0950331777304581,"M13"
"Zt09_chr_5_00807",0.00537793880899894,-0.902709024818487,0.0670677062333453,"M13"
"Zt09_chr_6_00234",0.0459293006367748,-0.763171855643863,0.0387573098791613,"M13"
"Zt09_chr_8_00523",0.0306763078848111,0.800199572074565,0.0214390626317972,"M13"
"Zt09_chr_1_01084",0.0125335209332188,-0.862287264356763,0.0139589768776321,"M13"
"Zt09_chr_3_00860",0.0321187988552516,-0.796311069673006,0.0117734791607751,"M13"
"Zt09_chr_6_00409",0.027551939138461,-0.808988324486529,0.0070729165003786,"M14"
"Zt09_chr_10_00217",0.00346618198393685,-0.918673054508074,0.0319759476153046,"M15"
"Zt09_chr_9_00298",0.0300983319848427,-0.801786253556028,0.0308890653721894,"M15"
"Zt09_chr_5_00438",0.00275070713703504,-0.925975827973316,0.0167820712313519,"M15"
"Zt09_chr_5_00101",0.0131020218006392,-0.859741603321282,0.0136388779075799,"M15"
"Zt09_chr_6_00683",0.00222524563222873,0.932085212472244,0.0414923795053995,"M16"
"Zt09_chr_3_00422",0.0143928396474908,-0.854187249911833,0.0202668358454944,"M18"
"Zt09_chr_8_00381",0.0468474341187429,-0.761178442520765,0.00916351304345296,"M18"
"Zt09_chr_10_00386",0.00679856094654945,0.892912800130822,0.00574077138499063,"M18"
"Zt09_chr_5_00509",0.031935316423844,-0.796800190422608,0.00912365081235899,"M2"
"Zt09_chr_6_00537",0.0104499597798933,-0.872232205155336,0.00640658237704378,"M2"
"Zt09_chr_4_00016",0.0173734149805156,-0.842365579437295,0.000309721476730382,"M2"
"Zt09_chr_5_00456",0.0490896404895418,-0.756398657549662,0.565208499957549,"M21"
"Zt09_chr_3_00396",0.0380308049305772,-0.781313695308558,0.0373987379083155,"M21"
"Zt09_chr_5_00495",0.0128616437772595,0.860810097669864,0.0746643487954915,"M22"
"Zt09_chr_5_00698",0.022487604726183,-0.824516977596957,0.0132319906152674,"M22"
"Zt09_chr_2_00116",0.00395731716201545,0.914160631735124,0.292720304123408,"M26"
"Zt09_chr_5_00076",0.016218656507754,-0.846796918302546,0.269912925285544,"M26"
"Zt09_chr_6_00408",0.0316649718253602,-0.797523732601975,0.233488920019214,"M26"
"Zt09_chr_7_00285",0.0458770212638418,-0.763286018682951,0.179559842774669,"M26"
"Zt09_chr_3_00985",0.0062622682041566,-0.896456858808578,0.123476224703304,"M26"
"Zt09_chr_3_00456",0.0249225298386964,0.816829039395052,0.058537667868884,"M26"
"Zt09_chr_1_00197",0.0201199783113212,-0.832457872117537,0.0427675114741677,"M26"
"Zt09_chr_3_01083",0.0222585706107208,-0.825263823672061,0.0128928792742829,"M26"
"Zt09_chr_8_00661",0.0241507927567984,-0.819217935789154,0.0164128549149092,"M3"
"Zt09_chr_1_01493",0.0495322075501412,-0.755469461991117,0.288285938203993,"M5"
"Zt09_chr_6_00055",0.0301244546756472,-0.801714174665989,0.271887038178129,"M5"
"Zt09_chr_6_00170",0.0458724044344258,-0.763296103940118,0.221261441828784,"M5"
"Zt09_chr_7_00387",0.000482881984174977,-0.963391390967161,0.18767963264056,"M5"
"Zt09_chr_1_00688",0.0453575340168717,-0.764424337566842,0.015175398631949,"M5"
"Zt09_chr_5_00344",0.0107711888513921,-0.870628968406647,0.104116008990565,"M6"
"Zt09_chr_2_00534",0.0372094529347064,0.783315675897663,0.0141729304757629,"M8"
"Zt09_chr_2_00264",0.0138616647132037,0.856436889996147,0.0129102693030014,"M8"
