"","p.Adjust","cor","kWithin","module"
"Zt09_chr_13_00305",0.0425129045699645,0.770788779272207,0.112322135186605,"M0"
"Zt09_chr_4_00484",0.0328267790301975,0.794438232228831,0.0733226578620571,"M0"
"Zt09_chr_1_01352",0.0371025858162978,0.78357795164168,0.0577964921567752,"M0"
"Zt09_chr_4_00471",0.0155358893573856,0.849502069461156,0.0545972180206248,"M0"
"Zt09_chr_10_00193",0.0495263735466298,0.755481681176866,0.0471180697056112,"M0"
"Zt09_chr_2_00374",0.0205513929924034,-0.830972989467796,0.0383766563608921,"M0"
"Zt09_chr_5_00789",0.0494078168198151,-0.755730166518272,0.0273411501480918,"M0"
"Zt09_chr_5_00803",0.0445765457848715,0.766149246901277,0.0189777959418428,"M0"
"Zt09_chr_3_00960",0.0470194602154423,0.760807340907144,0.0182347338242975,"M0"
"Zt09_chr_5_00651",0.0304005531103187,0.800954479639744,0.0141666075871346,"M0"
"Zt09_chr_1_00081",0.0182260353879694,0.839200271823273,0.0141548274791537,"M0"
"Zt09_chr_5_00235",0.0490365038022607,0.756510529269469,0.013581862184587,"M0"
"Zt09_chr_3_00124",0.0195473120832278,0.834457079442449,0.0135029812007908,"M0"
"Zt09_chr_9_00030",0.0136952838068787,0.857151663096911,0.0123347134211452,"M0"
"Zt09_chr_3_01093",0.0367435963482544,0.784462075150915,0.0121265891388662,"M0"
"Zt09_chr_11_00339",0.0309836191742911,-0.799362731765485,0.0115532472528037,"M0"
"Zt09_chr_10_00204",0.0210655300360762,0.829226259437475,0.0110117841934878,"M0"
"Zt09_chr_7_00297",0.0174470653744132,0.842088717649606,0.0108486553488148,"M0"
"Zt09_chr_1_01942",0.0436848510517823,0.768139134404106,0.0108023877976128,"M0"
"Zt09_chr_11_00152",0.0285501785726504,0.806122244040877,0.0107893967933507,"M0"
"Zt09_chr_12_00056",0.0434257411617981,-0.768721546912294,0.0105947176101453,"M0"
"Zt09_chr_6_00527",0.0198234373444268,0.833489025029626,0.0104805921495896,"M0"
"Zt09_chr_8_00301",0.0273327084675419,0.80962553313391,0.0101972575354911,"M0"
"Zt09_chr_6_00630",0.0305955465980562,-0.80042027024046,0.00815829420871107,"M0"
"Zt09_chr_12_00352",0.0402102558904012,0.776114850641761,0.00787030284352656,"M0"
"Zt09_chr_1_00508",0.0172764124169226,-0.842731246122175,0.00776505757702322,"M0"
"Zt09_chr_4_00619",0.0104864716094139,0.872048561043665,0.00600713221759008,"M0"
"Zt09_chr_7_00061",0.0136697077475791,0.857261977741333,0.00580920551208605,"M0"
"Zt09_chr_8_00607",0.0313625283521107,-0.798337283652889,0.00558384256664275,"M0"
"Zt09_chr_10_00210",0.0152680751960814,0.850581654666932,0.00464227238834793,"M0"
"Zt09_chr_1_00777",0.0304933183280743,0.800700099348615,0.00444940924886088,"M0"
"Zt09_chr_3_00926",0.0366441448865615,0.784707852833589,0.00443343274541735,"M0"
