"","p.Adjust","cor","kWithin","module"
"Zt09_chr_4_00471",0.0155203423119862,-0.84956444941113,0.0545972180206248,"M0"
"Zt09_chr_5_00803",0.0445481708615468,-0.766212228357234,0.0189777959418428,"M0"
"Zt09_chr_10_00204",0.0283272800308455,-0.806757280810431,0.0110117841934878,"M0"
"Zt09_chr_7_00297",0.0277694545946503,-0.808358907280034,0.0108486553488148,"M0"
"Zt09_chr_6_00630",0.0184201103575875,0.838491607370208,0.00815829420871107,"M0"
"Zt09_chr_10_00210",0.026683798387857,-0.811528629702514,0.00464227238834793,"M0"
"Zt09_chr_1_00777",0.0411464124136183,-0.773929685442519,0.00444940924886088,"M0"
"Zt09_chr_5_00280",0.0310839573509051,-0.799090505929618,0.00366451649823602,"M0"
"Zt09_chr_6_00416",0.022193556359694,-0.825476615917474,0.00360779028171245,"M0"
"Zt09_chr_3_00121",0.0152785217372762,-0.850539341978703,0.00314853655614466,"M0"
"Zt09_chr_4_00149",0.0327802161808423,-0.794560709717676,0.00282797604319518,"M0"
"Zt09_chr_2_00876",0.0270615054274106,-0.810417785994927,0.0022934624183734,"M0"
"Zt09_chr_5_00073",0.0486568503332801,0.757311775940618,0.00224060730696163,"M0"
"Zt09_chr_4_00575",0.0472062273597155,0.760405282461087,0.00206025745198298,"M0"
"Zt09_chr_7_00315",0.0158076982592317,-0.848417184367142,0.00189491109772386,"M0"
"Zt09_chr_19_00072",0.0153168771661558,0.850384128543156,0.00179123945261347,"M0"
"Zt09_chr_1_00478",0.0332750883095068,-0.793263936268699,0.00164866568620509,"M0"
"Zt09_chr_6_00138",0.041293665146176,-0.77358848010054,0.00161448979151809,"M0"
"Zt09_chr_3_00220",0.0235536522167401,-0.821096056441929,0.00153890525439155,"M0"
"Zt09_chr_19_00012",0.000197161966119736,-0.974476902421542,0.00140077192694528,"M0"
"Zt09_chr_5_00238",0.0233573806885603,-0.821719221840416,0.00133519239500541,"M0"
"Zt09_chr_1_01342",0.0316312332182171,-0.797614271335092,0.00112576512270357,"M0"
"Zt09_chr_1_01803",0.0267352785090061,-0.811376708065581,0.00104032353634694,"M0"
"Zt09_chr_10_00408",0.0271626464251611,0.810121808492563,0.0010240792672024,"M0"
"Zt09_chr_2_00918",0.0436221887380562,0.76827980828615,0.000978602246770709,"M0"
"Zt09_chr_1_00431",0.0263912227605725,0.812395186091292,0.000938463749365052,"M0"
"Zt09_chr_6_00697",0.0219937129405742,0.826132919856924,0.00088898000030215,"M0"
"Zt09_chr_2_00855",0.0239677656319966,0.819790780377659,0.000382979825641929,"M0"
"Zt09_chr_10_00419",0.0142424900095601,0.854819125825728,0.000379170950015971,"M0"
"Zt09_chr_12_00369",0.0181063075696124,0.839639598310024,0.000286028972934411,"M0"
"Zt09_chr_2_00714",0.0158485021265194,0.848255242865136,0.000111272573439894,"M0"
"Zt09_chr_9_00309",0.0271378674438102,-0.810194264020855,0.000103630419350515,"M0"
"Zt09_chr_3_00548",0.0183678808439709,0.83868190447331,4.41029011214053e-05,"M0"
"Zt09_chr_1_00996",0.0426314339986248,0.770518980653353,0.196806941709884,"M1"
"Zt09_chr_5_00535",0.0216427032319251,0.827293878932188,0.116235035155732,"M1"
"Zt09_chr_1_02052",0.0189094485004471,0.836723407359081,0.105804531935296,"M1"
"Zt09_chr_8_00107",0.0177074328655317,0.841115254778097,0.0408191971139303,"M1"
"Zt09_chr_9_00621",0.0204658467768727,-0.831266016473767,0.0355454179840827,"M1"
"Zt09_chr_4_00188",0.0471527836732332,-0.760520242719684,0.0229235973662774,"M1"
"Zt09_chr_1_01365",0.00417251097093757,0.912286819115344,0.0124236462439796,"M1"
"Zt09_chr_1_00947",0.0122017160996328,0.863803732370999,0.00995416474575729,"M1"
"Zt09_chr_1_01940",0.0128284208375951,-0.860958672857448,0.00794075511288082,"M1"
"Zt09_chr_4_00228",0.00776220775788509,0.886931082835514,0.00712156809157107,"M1"
"Zt09_chr_11_00235",0.0485900827618243,-0.757453040715113,0.00604457055766581,"M1"
"Zt09_chr_1_01430",0.0280376687948548,0.807586581204282,0.00478332858139864,"M1"
"Zt09_chr_1_00659",0.00376934120577551,0.915846777416933,0.00351145502116303,"M1"
"Zt09_chr_7_00109",0.00777773490140838,0.886838326697071,0.00244041688162639,"M1"
"Zt09_chr_1_00420",0.0177276075203086,0.841040166550017,0.00219273221924811,"M1"
"Zt09_chr_6_00196",0.0283793093593423,-0.806608799607911,0.00107685588868871,"M1"
"Zt09_chr_11_00018",0.0370272826573373,-0.783763014270839,0.000804919199583715,"M1"
"Zt09_chr_3_00552",0.0253214448856065,0.815610525243594,0.000505796451674612,"M1"
"Zt09_chr_2_01022",0.0417761828455228,0.772475103769846,0.000428289429391377,"M1"
"Zt09_chr_13_00037",0.0271052163133147,0.810289795028795,0.00041872502763749,"M1"
"Zt09_chr_19_00013",0.0143226142725243,-0.854481914771887,0.000380379619048129,"M1"
"Zt09_chr_3_00560",0.00679986765087462,-0.892904366744066,0.0325423228669219,"M10"
"Zt09_chr_2_00570",0.0206681644489462,-0.830574117505189,0.29287452641882,"M11"
"Zt09_chr_9_00512",0.0427577876576815,-0.770231827688654,0.0824376862090508,"M11"
