"X","p.Adjust","cor","kWithin","module"
"Zt09_chr_10_00492","3.3e-02",0.79,"0.6832","M13"
"Zt09_chr_13_00012","1.1e-02",0.87,"0.2768","M13"
"Zt09_chr_4_00591","4.8e-02",0.76,"0.1219","M13"
"Zt09_chr_4_00137","4.1e-02",0.77,"0.1106","M13"
"Zt09_chr_3_00040","1.6e-02",0.85,"0.1004","M13"
"Zt09_chr_11_00249","2.0e-03",0.94,"0.0950","M13"
"Zt09_chr_5_00816","1.1e-02",0.87,"0.0816","M13"
"Zt09_chr_13_00282","3.8e-02",0.78,"0.0793","M13"
"Zt09_chr_1_01870","2.0e-02",0.83,"0.0759","M13"
"Zt09_chr_3_00920","3.9e-02",0.78,"0.0734","M13"
"Zt09_chr_5_00807","2.5e-02",0.82,"0.0671","M13"
"Zt09_chr_8_00439","3.2e-02",0.8,"0.0408","M13"
"Zt09_chr_6_00234","1.7e-02",0.84,"0.0388","M13"
"Zt09_chr_1_00619","4.7e-03",0.91,"0.0341","M13"
"Zt09_chr_10_00180","4.8e-02",0.76,"0.0310","M13"
"Zt09_chr_5_00331","1.1e-02",0.87,"0.0262","M13"
"Zt09_chr_9_00087","4.3e-02",0.77,"0.0255","M13"
"Zt09_chr_4_00691","2.2e-02",0.82,"0.0214","M13"
"Zt09_chr_3_00842","5.6e-03",0.9,"0.0209","M13"
"Zt09_chr_6_00297","2.8e-02",0.81,"0.0175","M13"
"Zt09_chr_1_01084","1.8e-02",0.84,"0.0140","M13"
"Zt09_chr_1_01785","1.0e-02",0.87,"0.0125","M13"
"Zt09_chr_3_00860","4.7e-02",0.76,"0.0118","M13"
"Zt09_chr_4_00892","3.9e-02",0.78,"0.0082","M13"
