"","p.Adjust","cor","kWithin","module"
"Zt09_chr_1_00424",0.0258233675738253,-0.814092615696661,0.0797581655852123,"M0"
"Zt09_chr_12_00081",0.0399288134157027,0.776777279489601,0.0710427406876898,"M0"
"Zt09_chr_4_00321",0.00516345581571363,-0.904314099305657,0.0556548252944944,"M0"
"Zt09_chr_6_00133",0.0347643628649326,-0.789424999553691,0.0280035169783421,"M0"
"Zt09_chr_7_00066",0.0137103200360925,-0.8570868638635,0.0206837144582743,"M0"
"Zt09_chr_13_00060",0.0160708048423236,-0.847377120944246,0.0199513959594216,"M0"
"Zt09_chr_5_00417",0.0247951402674346,-0.81722047040013,0.019520696083525,"M0"
"Zt09_chr_2_00593",0.0407827688267621,-0.774775200296985,0.0194727402806772,"M0"
"Zt09_chr_1_00738",0.01047392792895,-0.872111610631356,0.0192821960680569,"M0"
"Zt09_chr_7_00057",0.0475150209536033,-0.759742445488102,0.0186155994254384,"M0"
"Zt09_chr_3_00406",0.0240705215854491,-0.819468868901851,0.0142461885647335,"M0"
"Zt09_chr_8_00431",0.0412906131525092,-0.773595545172185,0.0133268705633653,"M0"
"Zt09_chr_9_00153",0.000599994109212474,0.960040356510853,0.0133133924950681,"M0"
"Zt09_chr_7_00297",0.0363601772741818,-0.785411677026788,0.0108486553488148,"M0"
"Zt09_chr_7_00453",0.0498619600393845,-0.754780080003992,0.0103809556275078,"M0"
"Zt09_chr_1_00787",0.0480616885564444,-0.758574775186092,0.00997631308788752,"M0"
"Zt09_chr_3_00610",0.0404473832431992,-0.775558713785829,0.00979163300564969,"M0"
"Zt09_chr_1_00697",0.0174605334382118,-0.842038161333474,0.00917197668368128,"M0"
"Zt09_chr_2_00227",0.0360393972394041,-0.786210424633463,0.00912136299049378,"M0"
"Zt09_chr_10_00106",0.0374267622443065,-0.782783636513007,0.00875769069441775,"M0"
"Zt09_chr_19_00073",0.0464766704445465,0.761980822049225,0.00845205546186662,"M0"
"Zt09_chr_1_00183",0.0276421003944423,-0.80872709072997,0.00796866226914821,"M0"
"Zt09_chr_3_00847",0.0166256408302975,-0.845215222325368,0.00789140079396949,"M0"
"Zt09_chr_9_00430",0.0165045613404857,0.845683455491203,0.00783900224961345,"M0"
"Zt09_chr_1_00508",0.0493464837072657,0.755858843976386,0.00776505757702322,"M0"
"Zt09_chr_10_00343",0.0347342661673737,0.789501664028362,0.0074185146450313,"M0"
"Zt09_chr_7_00419",0.0140881904500098,-0.855471580160263,0.00703862366522172,"M0"
"Zt09_chr_5_00663",0.00543311578504112,-0.902302159750037,0.00688151472353048,"M0"
"Zt09_chr_1_00416",0.0450020899454511,-0.765207336531956,0.0059182616690186,"M0"
"Zt09_chr_7_00230",0.0385934892143339,-0.779956000905034,0.00566913700385131,"M0"
"Zt09_chr_2_00230",0.0426437298922738,-0.770491016243369,0.00565427451780365,"M0"
"Zt09_chr_1_00896",0.0198247188794818,-0.833484550041278,0.00546886735497585,"M0"
"Zt09_chr_7_00396",0.0041756472828174,-0.912259931747415,0.00536630154047403,"M0"
"Zt09_chr_9_00170",0.04418991338847,-0.767009330290949,0.00511501486450802,"M0"
"Zt09_chr_8_00699",0.0019401791796123,-0.935760825294827,0.00480979446928313,"M0"
"Zt09_chr_16_00022",0.0166083097666326,-0.845282124839452,0.00471674312942189,"M0"
"Zt09_chr_10_00210",0.0130830118710408,-0.859825692481817,0.00464227238834793,"M0"
"Zt09_chr_8_00743",0.0303755690724343,0.801023064916833,0.004420153653217,"M0"
"Zt09_chr_5_00640",0.00656170603815448,-0.894457266278085,0.00433860820129065,"M0"
"Zt09_chr_5_00232",0.0185433635671365,0.838043748713808,0.00432874625540818,"M0"
"Zt09_chr_5_00021",0.0236280964794122,-0.820860461174887,0.0041846340124042,"M0"
"Zt09_chr_2_01130",0.0192309234994259,-0.835575875290721,0.00384725921323827,"M0"
"Zt09_chr_7_00239",0.0421374207602414,-0.771646212402554,0.00378349634200097,"M0"
"Zt09_chr_6_00416",0.0384482284437647,-0.780305442669704,0.00360779028171245,"M0"
"Zt09_chr_8_00361",0.00969040016499708,0.876139644829396,0.00352471795620332,"M0"
"Zt09_chr_9_00313",0.0433140862458746,-0.768973108940678,0.00352010391433915,"M0"
"Zt09_chr_13_00356",0.0101799423332347,-0.873601930105953,0.00329395582983436,"M0"
"Zt09_chr_4_00364",0.0341950512975847,-0.790881505521972,0.00313441842924952,"M0"
"Zt09_chr_9_00423",0.0134032533952162,0.858418344418166,0.00307471996392917,"M0"
"Zt09_chr_2_00380",0.00820271819545398,-0.884340009730608,0.00305561471126958,"M0"
"Zt09_chr_5_00173",0.0416865689007665,-0.772681342654099,0.00301468619329387,"M0"
"Zt09_chr_7_00113",0.0410463634197328,-0.7741618981473,0.0029288205172166,"M0"
"Zt09_chr_3_00868",0.0183067468384873,-0.838905035832266,0.00275724968566774,"M0"
"Zt09_chr_5_00410",0.0275289896221565,-0.809054895122534,0.00255891798402638,"M0"
"Zt09_chr_4_00615",0.0218262633872657,-0.826685439627575,0.00248201636477671,"M0"
"Zt09_chr_13_00064",0.0194417985591208,-0.834829041146203,0.00221559730337292,"M0"
"Zt09_chr_4_00067",0.00932488911795025,-0.878082975323843,0.00204680981607422,"M0"
"Zt09_chr_13_00319",0.0187854216824356,-0.837169090117496,0.00197583739184264,"M0"
"Zt09_chr_9_00233",0.0487849174333664,-0.757041112600697,0.00195571834529924,"M0"
"Zt09_chr_7_00315",0.0301647307734861,-0.801603111551957,0.00189491109772386,"M0"
"Zt09_chr_2_00794",0.0328911252544755,-0.794269137240769,0.00179851389221982,"M0"
"Zt09_chr_6_00588",0.0211812585275928,-0.828836420761461,0.00178033123923513,"M0"
"Zt09_chr_6_00138",0.0469041902057168,-0.76105592340885,0.00161448979151809,"M0"
"Zt09_chr_8_00031",0.00590252981034167,-0.898933996784519,0.00159788091569013,"M0"
"Zt09_chr_12_00320",0.0495627305314362,-0.755405545158123,0.00150135122479635,"M0"
"Zt09_chr_2_00950",0.0275129918404748,0.809101318991938,0.00130379547880939,"M0"
"Zt09_chr_12_00005",0.0443288384020718,-0.766699809362017,0.00126888676441182,"M0"
"Zt09_chr_1_00405",0.0145928185238505,-0.853352615546278,0.00116452320003485,"M0"
"Zt09_chr_12_00219",0.0299621488651163,0.802162584153183,0.00106814573630645,"M0"
"Zt09_chr_3_00123",0.00509351532182265,-0.904845866430938,0.000907305162393779,"M0"
"Zt09_chr_1_00434",0.021083934654474,0.82916418141906,0.000806457498137518,"M0"
"Zt09_chr_1_01328",0.0373031532704187,-0.783086058084909,0.00048567907181601,"M0"
"Zt09_chr_5_00257",0.00867439566414833,-0.881653304435341,0.000431290254539514,"M0"
"Zt09_chr_1_01516",0.0420282378304787,0.771896326937472,0.000342400698251524,"M0"
"Zt09_chr_1_00033",0.00314477684359091,-0.921832246264276,0.000317726932156743,"M0"
