"","p.Adjust","cor","kWithin","module"
"Zt09_chr_10_00246",0.0342562094237386,-0.790724396805611,0.150670358942844,"M0"
"Zt09_chr_11_00304",0.0382110359736759,-0.780877613183943,0.143027857233413,"M0"
"Zt09_chr_7_00507",0.0273718847620626,0.809511454645957,0.12074582868422,"M0"
"Zt09_chr_13_00041",0.0428325389396794,0.770062167276649,0.0673368197673662,"M0"
"Zt09_chr_13_00018",0.0420854843957147,-0.771765142742008,0.0584566704562642,"M0"
"Zt09_chr_5_00801",0.00574798466064889,0.900025115225287,0.0528333994187733,"M0"
"Zt09_chr_8_00698",0.0196767617333631,-0.834002289077998,0.0527188047326717,"M0"
"Zt09_chr_2_00975",0.0261581512939335,0.81308937310731,0.0517757933637344,"M0"
"Zt09_chr_2_00644",0.0385144893366808,-0.780145953769071,0.0364736886703359,"M0"
"Zt09_chr_8_00550",0.0385497987730053,-0.780061026619736,0.0313743209167248,"M0"
"Zt09_chr_4_00487",0.0460661705678086,-0.762873309179646,0.0295364618689376,"M0"
"Zt09_chr_1_00728",0.0188355842808978,-0.836988633293992,0.0263707313578372,"M0"
"Zt09_chr_11_00503",0.0222628923383424,-0.825249691074132,0.0255321415556029,"M0"
"Zt09_chr_12_00344",0.0430295323526103,-0.769615838797,0.0252165285838547,"M0"
"Zt09_chr_12_00273",0.0352335169479364,-0.788234678429979,0.0246053496097645,"M0"
"Zt09_chr_3_00145",0.0253141633324712,-0.815632670060106,0.0238641477093768,"M0"
"Zt09_chr_5_00226",0.0286786546189557,-0.805757478454663,0.0238171781645273,"M0"
"Zt09_chr_1_00975",0.0366364469178247,-0.784726892513091,0.0237367318277565,"M0"
"Zt09_chr_10_00376",0.00276689194806193,-0.92579903110979,0.0222969079601007,"M0"
"Zt09_chr_9_00220",0.0313419676181419,-0.798392749310148,0.0206519598795825,"M0"
"Zt09_chr_5_00152",0.0221268172930149,-0.825695420224775,0.0199724602254641,"M0"
"Zt09_chr_5_00267",0.0211091579593296,-0.829079154049179,0.0192128330890664,"M0"
"Zt09_chr_5_00583",0.0332080024750648,-0.793439096494756,0.0181579281188296,"M0"
"Zt09_chr_5_00053",0.0259177440890672,-0.81380906205694,0.0180992539145165,"M0"
"Zt09_chr_2_01096",0.0180113166477418,-0.839989331805359,0.0167442360746311,"M0"
"Zt09_chr_7_00252",0.0341517844878834,0.790992747866959,0.0161701539030839,"M0"
"Zt09_chr_3_00921",0.0155198943652516,-0.849566247251682,0.0156563892055412,"M0"
"Zt09_chr_9_00276",0.0146265297491769,-0.853212563090896,0.0154102976244011,"M0"
"Zt09_chr_2_00280",0.0147706424292255,-0.852615920424879,0.0146816921084016,"M0"
"Zt09_chr_9_00358",0.0371100492140012,-0.783559621193131,0.0145874600663611,"M0"
"Zt09_chr_4_00446",0.0293070217025622,-0.803986492481529,0.0144455632445028,"M0"
"Zt09_chr_1_00515",0.0496229261237731,-0.755279555368961,0.0142443964979394,"M0"
"Zt09_chr_2_00515",0.000708295008234019,-0.957272274672148,0.0141735201022484,"M0"
"Zt09_chr_6_00384",0.00095556826565597,-0.951777670334085,0.0136968568467755,"M0"
"Zt09_chr_10_00268",0.0325992646945829,-0.795037602529813,0.0134910608748329,"M0"
"Zt09_chr_1_00878",0.0194511540276794,-0.834796014575442,0.0128412462260679,"M0"
"Zt09_chr_7_00584",0.00409975550017038,-0.912913888259276,0.0126362546783058,"M0"
"Zt09_chr_9_00030",0.0385615266863117,-0.780032827882291,0.0123347134211452,"M0"
"Zt09_chr_7_00297",0.0416834535462002,-0.772688516779343,0.0108486553488148,"M0"
"Zt09_chr_7_00552",0.0191473324818257,-0.835873206454532,0.0101195427498119,"M0"
"Zt09_chr_8_00243",0.0228380394582229,-0.823382531702238,0.0100450070353244,"M0"
"Zt09_chr_7_00304",0.0271506506867433,-0.810156880260184,0.00973930539073873,"M0"
"Zt09_chr_3_00678",0.00772090534550771,-0.887178339270113,0.00940821783686726,"M0"
"Zt09_chr_7_00325",0.0497713653408851,-0.754969228305567,0.00930805659719656,"M0"
"Zt09_chr_1_01887",0.0441960447550226,-0.766995658488518,0.00889876662297445,"M0"
"Zt09_chr_5_00241",0.029846338372893,0.802483370461372,0.00817801552128742,"M0"
"Zt09_chr_4_00181",0.000734067013294273,-0.956651203565928,0.00793507655658974,"M0"
"Zt09_chr_10_00338",0.0451210848737638,-0.764944827895977,0.00756391998900605,"M0"
"Zt09_chr_8_00224",0.0226002839880769,-0.824151124120148,0.00732022612531518,"M0"
"Zt09_chr_11_00036",0.0415186604495302,-0.773068429864321,0.00730020323164402,"M0"
"Zt09_chr_13_00121",0.0366881664465948,-0.784599015270597,0.00717058718032038,"M0"
"Zt09_chr_6_00554",0.0249394026020619,-0.816777278881673,0.00690806703493223,"M0"
"Zt09_chr_6_00703",0.0367393267041161,-0.784472619270056,0.00671575798947114,"M0"
"Zt09_chr_13_00098",0.00595555745377517,-0.898563442940646,0.006378059834849,"M0"
"Zt09_chr_1_00358",0.0263888690136642,-0.812402179299766,0.00633192828634527,"M0"
"Zt09_chr_7_00230",0.0227046647688445,-0.823813132721422,0.00566913700385131,"M0"
"Zt09_chr_3_00398",0.000870934353466239,-0.953551695670738,0.00559549009955862,"M0"
"Zt09_chr_4_00326",0.0339284614238845,-0.791568180723267,0.00541925730511277,"M0"
"Zt09_chr_3_00067",0.0239778361971487,-0.819759197197427,0.00535335944255509,"M0"
"Zt09_chr_1_01868",0.0187376926476387,-0.837341046539452,0.00533864510142085,"M0"
"Zt09_chr_4_00310",0.0239032520362533,-0.819993284823852,0.00525937334469156,"M0"
"Zt09_chr_4_00392",0.0214967619188404,0.827779710210427,0.00518732562745648,"M0"
"Zt09_chr_1_00082",0.0166059685320823,-0.845291165675765,0.00489436416440901,"M0"
"Zt09_chr_1_00769",0.0328937520747316,0.794262238159205,0.00463701925398557,"M0"
"Zt09_chr_6_00380",0.0155145576579534,-0.849587668479874,0.00461543934345666,"M0"
"Zt09_chr_2_00556",0.0155291539663084,-0.849529089729695,0.0046060897531426,"M0"
"Zt09_chr_4_00583",0.0107293682352365,-0.870836120916388,0.00450585740453884,"M0"
"Zt09_chr_13_00015",0.0476884509740454,-0.759371208029338,0.00447180392399099,"M0"
"Zt09_chr_10_00510",0.0495668310891246,-0.755396960003489,0.00440786285792504,"M0"
"Zt09_chr_5_00203",0.0220537738102767,-0.825935321510311,0.00433301442598057,"M0"
"Zt09_chr_5_00021",0.0234658945016247,-0.821374325131972,0.0041846340124042,"M0"
"Zt09_chr_12_00249",0.0236830515189563,-0.820686812333229,0.00404220290834019,"M0"
"Zt09_chr_7_00388",0.0308953217380819,-0.79960269791823,0.00403802449350264,"M0"
"Zt09_chr_5_00627",0.0343964594033827,-0.790364698213383,0.00373658547114415,"M0"
"Zt09_chr_3_00969",0.0251998637828821,-0.815980751216917,0.00363239380605228,"M0"
"Zt09_chr_4_00227",0.00800727389794597,-0.885479418263676,0.00344384807596078,"M0"
"Zt09_chr_3_00922",0.000932074860381464,-0.952260469896808,0.00311540986953468,"M0"
