"","p.Adjust","cor","kWithin","module"
"Zt09_chr_10_00246",0.00561590782173622,0.900971197915791,0.150670358942844,"M0"
"Zt09_chr_2_00395",0.011739447337495,0.865956456390035,0.110396897738365,"M0"
"Zt09_chr_2_00489",0.0376060439187012,-0.782345989171394,0.105824004013984,"M0"
"Zt09_chr_4_00484",0.0407014241648745,-0.774964906029607,0.0733226578620571,"M0"
"Zt09_chr_8_00698",0.0119960848490316,-0.864755444410074,0.0527188047326717,"M0"
"Zt09_chr_2_00569",0.0344438266993249,-0.790243399979242,0.0510458558175572,"M0"
"Zt09_chr_2_00910",0.0390026075787922,0.778975717145019,0.0486902650591264,"M0"
"Zt09_chr_1_01512",0.0221001501502276,-0.825782952842876,0.0468335573604838,"M0"
"Zt09_chr_4_00083",0.0150534901458234,-0.851454493374254,0.0325161037761208,"M0"
"Zt09_chr_1_01171",0.0271980843172298,-0.810018250003339,0.0300794984763278,"M0"
"Zt09_chr_5_00513",0.0450276691103337,-0.765150875445222,0.0287834145655015,"M0"
"Zt09_chr_6_00133",0.0253566325574526,-0.815503562208848,0.0280035169783421,"M0"
"Zt09_chr_5_00789",0.0386855272014231,0.779734969793769,0.0273411501480918,"M0"
"Zt09_chr_1_00748",0.0103870558945416,-0.872549461998684,0.0273136259425766,"M0"
"Zt09_chr_1_00555",0.018905815617857,-0.836736438266461,0.0271444235461168,"M0"
"Zt09_chr_6_00715",0.0431879078439085,0.769257823470462,0.0270797342193838,"M0"
"Zt09_chr_2_00003",0.0483026728082478,-0.758062352305144,0.0257343043782373,"M0"
"Zt09_chr_6_00628",0.0315714484053174,-0.797774838523886,0.0250504353235705,"M0"
"Zt09_chr_6_00690",0.0189044097249321,0.836741481492043,0.0235552273322803,"M0"
"Zt09_chr_2_00163",0.019048538160075,-0.836225566771697,0.0233180255991272,"M0"
"Zt09_chr_4_00651",0.0018437645074159,0.937075416932918,0.0225323809810127,"M0"
"Zt09_chr_1_01308",0.017478328435438,-0.841971396616377,0.0219001855990245,"M0"
"Zt09_chr_2_00964",0.0465708590435336,-0.76177665380489,0.0208226308433479,"M0"
"Zt09_chr_2_00583",0.0383719361855715,-0.780489265669582,0.0207600853016797,"M0"
"Zt09_chr_9_00220",0.0258979564889263,-0.81386846560293,0.0206519598795825,"M0"
"Zt09_chr_16_00024",0.00935058483557798,0.877944937392278,0.0201314081644799,"M0"
"Zt09_chr_6_00579",0.0353689034910019,0.787892821595545,0.0196077703218348,"M0"
"Zt09_chr_5_00803",0.0426872307863074,-0.77039211834699,0.0189777959418428,"M0"
"Zt09_chr_8_00604",0.0334652889513642,-0.792768392357058,0.0178295097019682,"M0"
"Zt09_chr_9_00083",0.0451001179968241,0.764991054181902,0.0173343510512236,"M0"
"Zt09_chr_4_00476",0.0149078258231465,-0.852051047480188,0.0168325217347857,"M0"
"Zt09_chr_2_01096",0.00281422914895395,-0.925285391561258,0.0167442360746311,"M0"
"Zt09_chr_7_00252",0.0271217682989598,0.810241358991009,0.0161701539030839,"M0"
"Zt09_chr_10_00322",0.039893557411091,0.776860443087783,0.0160063392401471,"M0"
"Zt09_chr_12_00100",0.0152805102318676,-0.850531289647881,0.0157834012227313,"M0"
"Zt09_chr_5_00719",0.00899631859279611,-0.879867759197908,0.0152540895212229,"M0"
"Zt09_chr_1_00147",0.0289066241400821,-0.80511248107079,0.0148835255902397,"M0"
"Zt09_chr_8_00051",0.0314628937320435,-0.798066824164052,0.0144716151637902,"M0"
"Zt09_chr_10_00266",0.0281579003344122,-0.807241718319284,0.0142687553747744,"M0"
"Zt09_chr_7_00324",0.0142737289769001,0.854687524800457,0.0141962082094037,"M0"
"Zt09_chr_5_00199",0.0272228902509536,0.809945805855055,0.0141630740519923,"M0"
"Zt09_chr_5_00235",0.0158985141171537,-0.848057080344933,0.013581862184587,"M0"
"Zt09_chr_3_00976",0.00767662240640716,-0.887444290345452,0.012991095364888,"M0"
"Zt09_chr_7_00584",0.01585319583928,-0.848236629816196,0.0126362546783058,"M0"
"Zt09_chr_1_01725",0.0156225886659788,0.849154854181872,0.0123698419479047,"M0"
"Zt09_chr_1_01064",0.03044821783067,0.800823719557956,0.0122405471899932,"M0"
"Zt09_chr_5_00381",0.0023618997177822,0.930421300062106,0.0116134659156936,"M0"
"Zt09_chr_6_00477",0.0175825529189323,-0.841581132969282,0.0115145881962087,"M0"
"Zt09_chr_1_00743",0.0156752497397953,-0.848944492377044,0.0113060425679517,"M0"
"Zt09_chr_4_00871",0.00625328577797551,-0.896517690414821,0.0110886310919034,"M0"
"Zt09_chr_8_00680",0.0478439469373753,-0.759038988915349,0.0107302853495911,"M0"
"Zt09_chr_6_00527",0.0445386434670063,-0.766233380474548,0.0104805921495896,"M0"
"Zt09_chr_8_00299",0.0226879665681621,-0.823867143473518,0.00974175828948525,"M0"
"Zt09_chr_3_00470",0.0395208869702733,-0.777742014997764,0.00912434703682648,"M0"
"Zt09_chr_3_01005",0.00553970174638561,-0.90152296743479,0.00897000415461446,"M0"
"Zt09_chr_2_01092",0.0324962531975481,-0.795309746344508,0.00896386398178646,"M0"
"Zt09_chr_9_00496",0.0358255175888065,-0.786745185489904,0.00888312197444173,"M0"
"Zt09_chr_5_00773",0.0438300455347084,-0.767813606483228,0.00876950717515982,"M0"
"Zt09_chr_5_00464",0.00957928065242226,-0.876725900178807,0.00876548669836381,"M0"
"Zt09_chr_1_01748",0.00436455951025257,0.910661638655454,0.00836494184693737,"M0"
"Zt09_chr_6_00140",0.0353707004561641,-0.787888289079015,0.00822118160322804,"M0"
"Zt09_chr_9_00365",0.0496155963861797,-0.755294892082929,0.0079713044946621,"M0"
"Zt09_chr_1_01835",0.0351461715629024,-0.788455617106942,0.0067647021652637,"M0"
"Zt09_chr_1_01110",0.0204336448024487,0.831376499689898,0.00635825850933191,"M0"
"Zt09_chr_10_00465",0.0153738847767878,0.850153844409688,0.00566489635528197,"M0"
"Zt09_chr_3_00758",0.0399401346346525,-0.776750583059435,0.00555264749508457,"M0"
"Zt09_chr_13_00151",0.0344816762714553,-0.790146541470694,0.00534163344646657,"M0"
"Zt09_chr_4_00310",0.00721649031419119,-0.890261925346065,0.00525937334469156,"M0"
"Zt09_chr_1_01462",0.032348769760227,-0.79570021876195,0.00490638064364788,"M0"
"Zt09_chr_11_00099",0.031452187419773,-0.798095652002181,0.00488743630902918,"M0"
"Zt09_chr_16_00059",0.0303629556101778,-0.801057702922495,0.00484978887735639,"M0"
"Zt09_chr_1_00769",0.0304804533113739,0.800735351857667,0.00463701925398557,"M0"
"Zt09_chr_6_00380",0.0116226164580866,-0.866508194942699,0.00461543934345666,"M0"
"Zt09_chr_4_00141",0.00229011974756167,-0.931288030478835,0.00443936393741848,"M0"
"Zt09_chr_5_00203",0.00599227844412443,-0.898307961106007,0.00433301442598057,"M0"
"Zt09_chr_3_00567",0.0309116110078754,-0.79955839972404,0.00419782548686452,"M0"
"Zt09_chr_5_00021",0.042900469221992,-0.76990812982965,0.0041846340124042,"M0"
"Zt09_chr_1_01309",0.0390119209215617,-0.778953468016594,0.00417038936085774,"M0"
"Zt09_chr_3_00785",0.0227730545424745,-0.823592158014698,0.00416156044879409,"M0"
"Zt09_chr_5_00209",0.019793577778627,-0.833593338024863,0.00411819147152385,"M0"
"Zt09_chr_5_00485",0.0141219238055898,-0.855328591278414,0.00410927480796217,"M0"
"Zt09_chr_12_00249",0.0446554939035603,-0.765974128374178,0.00404220290834019,"M0"
"Zt09_chr_1_01450",0.0215098730814075,-0.827735987688977,0.00400741157104148,"M0"
"Zt09_chr_8_00188",0.0271980524994531,-0.810018342948944,0.00395509457018931,"M0"
"Zt09_chr_2_00627",0.00752770755796064,-0.888345203585193,0.00391617586613163,"M0"
"Zt09_chr_3_00055",0.0145747508630356,-0.853427753300893,0.00377243288836869,"M0"
"Zt09_chr_1_01832",0.0290752478815608,-0.804637223188661,0.00374576233880982,"M0"
"Zt09_chr_6_00312",0.0231668017858989,0.822327146699712,0.00357041602767261,"M0"
"Zt09_chr_9_00313",0.031724971870652,-0.797362853371114,0.00352010391433915,"M0"
"Zt09_chr_1_01718",0.0201666999798387,-0.832296195601909,0.00318754051416471,"M0"
"Zt09_chr_2_00707",0.0236031078156244,-0.820939496562136,0.00313656112105005,"M0"
"Zt09_chr_3_00922",0.0234003728862042,-0.82158246895613,0.00311540986953468,"M0"
"Zt09_chr_1_00543",0.0272574652003849,-0.80984489372114,0.00279612159651233,"M0"
"Zt09_chr_9_00354",0.0326428670867521,0.79492255483616,0.00275657106943718,"M0"
"Zt09_chr_2_00670",0.0421227978473635,0.771679689577838,0.00274922042859084,"M0"
"Zt09_chr_5_00655",0.00876122537193076,-0.881167987561698,0.00255897506861222,"M0"
"Zt09_chr_5_00792",0.00908790945967317,-0.879366511875707,0.00249297144316591,"M0"
"Zt09_chr_1_00388",0.00179393803329965,-0.937770684021679,0.00228593773532842,"M0"
"Zt09_chr_11_00128",0.0424135480291216,-0.771015256170687,0.0021235161495818,"M0"
"Zt09_chr_9_00233",0.0415240303409781,-0.773056037033594,0.00195571834529924,"M0"
