"","p.Adjust","cor","kWithin","module"
"Zt09_chr_6_00634",0.0129553749094982,-0.860392107545385,0.108012719213197,"M0"
"Zt09_chr_1_00959",0.0437059461316636,0.768091801983561,0.1047396896338,"M0"
"Zt09_chr_2_00540",0.0368463396847406,-0.784208549715162,0.102733646225598,"M0"
"Zt09_chr_12_00397",0.00840310461171189,-0.883187969093004,0.0783777932532009,"M0"
"Zt09_chr_1_01444",0.0274984080818997,-0.80914365271825,0.0714062521371008,"M0"
"Zt09_chr_5_00801",0.021563985666616,0.827555694754915,0.0528333994187733,"M0"
"Zt09_chr_8_00698",0.0387466187311998,-0.779588418061915,0.0527188047326717,"M0"
"Zt09_chr_1_01190",0.0058967818983628,-0.898974278850566,0.030978409624195,"M0"
"Zt09_chr_5_00513",0.0248852380918376,-0.816943509190162,0.0287834145655015,"M0"
"Zt09_chr_1_01977",0.0208397864322723,0.829990194399067,0.0285422851497294,"M0"
"Zt09_chr_6_00133",0.0330035105771847,-0.793974242521561,0.0280035169783421,"M0"
"Zt09_chr_12_00265",0.0475303730771741,-0.759709553368789,0.0261169847819475,"M0"
"Zt09_chr_1_01011",0.0253778796718139,-0.815439015946314,0.0258443063262692,"M0"
"Zt09_chr_3_00352",0.0124523925802771,-0.862655902782331,0.0252258513918338,"M0"
"Zt09_chr_10_00474",0.0296038878706436,0.803157203306292,0.0226972194008028,"M0"
"Zt09_chr_1_01176",0.0483770371061593,0.757904509129804,0.0215240063126546,"M0"
"Zt09_chr_13_00060",0.00128686433278049,-0.945607243271847,0.0199513959594216,"M0"
"Zt09_chr_9_00432",0.00196878917202052,-0.935378160923032,0.0184630785721112,"M0"
"Zt09_chr_13_00051",0.011827265183815,-0.865543805462227,0.016801607236239,"M0"
"Zt09_chr_2_01096",0.0301513050997982,-0.801640124215505,0.0167442360746311,"M0"
"Zt09_chr_8_00667",0.0182781709683801,0.839009479332016,0.0164351153108834,"M0"
"Zt09_chr_12_00100",0.023914688731092,-0.819957363248766,0.0157834012227313,"M0"
"Zt09_chr_2_00111",0.0180754715727014,-0.839753014390996,0.015421777213236,"M0"
"Zt09_chr_3_01030",0.0268418862189367,-0.811062622535009,0.0152717193347044,"M0"
"Zt09_chr_1_00147",0.0397955352288969,-0.77709187656011,0.0148835255902397,"M0"
"Zt09_chr_8_00051",0.00833325877232155,-0.883587698546309,0.0144716151637902,"M0"
"Zt09_chr_12_00417",0.0245376430733255,0.81801515730989,0.0138671318090572,"M0"
"Zt09_chr_3_00633",0.0344330443005724,-0.790271003393455,0.0137190139572533,"M0"
"Zt09_chr_8_00431",0.027764056088191,-0.808374495213899,0.0133268705633653,"M0"
